Year,Year_Close,Avg_PS_Ratio
2020,132.69,6.35
2019,73.4125,4.01
2018,39.435,3.51
2017,42.3075,3.39
2016,28.955,2.57
2015,26.315,2.78
2014,27.595,2.88
2013,20.0364,2.27
2012,19.0062,3.19
2011,14.4643,2.82
2010,11.52,3.45
2009,7.5261,2.86
2008,3.0482,2.98
2007,7.0743,4.45
