Year,Avg_DER,Year_Close
2020,-7.47,2.12
2019,9.76,7.24
2018,4.94,12.28
2017,3.13,15.1
2016,2.47,33.65
2015,2.16,24
2014,2.12,26.18
2013,0.59,20.55
