Year,Annual_EPS,Year_Close
2020,3.28,132.69
2019,2.97,73.4125
2018,2.98,39.435
2017,2.3,42.3075
2016,2.08,28.955
2015,2.31,26.315
2014,1.61,27.595
2013,1.42,20.0364
2012,1.58,19.0062
2011,0.99,14.4643
2010,0.54,11.52
2009,0.32,7.5261
2008,0.24,3.0482
2007,0.14,7.0743
2006,0.08,3.03
2005,0.06,2.5675
