Year,Average_Stock_Price,Year_Open,Year_High,Year_Low,Year_Close,Annual_%_Change
2020,4.5929,7.46,7.76,2.08,2.12,-70.72%
2019,11.7751,12.89,16.59,7.24,7.24,-41.04%
2018,16.2116,15.4,21.35,12.2,12.28,-18.68%
2017,22.339,34.75,34.75,11,15.1,-55.13%
2016,28.7413,23.17,35.5,20.06,33.65,40.21%
2015,29.1661,25.63,35.86,22.91,24,-8.33%
2014,23.4196,20.18,26.82,19.96,26.18,27.40%
2013,19.7544,18.9,20.55,18.9,20.55,0.00%
