Year,Avg_DER,Year_Close
2020,3.7,132.69
2019,2.53,73.4125
2018,2.13,39.435
2017,1.7,42.3075
2016,1.44,28.955
2015,1.23,26.315
2014,0.94,27.595
2013,0.62,20.0364
2012,0.49,19.0062
2011,0.54,14.4643
2010,0.53,11.52
2009,0.66,7.5261
2008,0.7,3.0482
2007,0.67,7.0743
2006,0.67,3.03
2005,0.59,2.5675
