Year,Avg_Dividend,Year_Close
2020,0.3,2.12
2019,0.2,7.24
2018,0.2,12.28
2017,0.2,15.1
2016,0.2,33.65
2015,0.2,24
2014,0.2,26.18
2013,0.2,20.55
