Year,Avg_Dividend,Year_Close
2020,0.79,132.69
2019,0.73,73.4125
2018,0.64,39.435
2017,0.56,42.3075
2016,0.5,28.955
2015,0.45,26.315
2014,0.41,27.595
2013,0.33,20.0364
