Year,Annual_EPS,Year_Close
2020,-39.15,2.12
2019,-1.44,7.24
2018,0.41,12.28
2017,-3.8,15.1
2016,1.13,33.65
2015,1.06,24
2014,0.66,26.18
2013,4.76,20.55
